47 1.417000 10	163 1.354000 10	457 1.336000 10	1316 1.320000 10	2205 1.352000 10	2147 1.345000 10
81 1.348000 20	148 1.279000 20	404 1.304000 20	1554 1.300000 20	2439 1.364000 20	2249 1.354000 20
55 1.381000 30	122 1.235000 30	482 1.329000 30	1720 1.336000 30	2311 1.334000 30	2239 1.367000 30
64 1.266000 40	159 1.252000 40	396 1.310000 40	1836 1.361000 40	2256 1.364000 40	2448 1.362000 40
70 1.379000 50	121 1.206000 50	516 1.285000 50	1795 1.373000 50	2418 1.361000 50	2317 1.353000 50
88 1.370000 60	166 1.218000 60	451 1.370000 60	1760 1.373000 60	2418 1.353000 60	2337 1.351000 60
51 1.265000 70	132 1.206000 70	487 1.312000 70	1810 1.352000 70	2348 1.376000 70	2405 1.355000 70
89 1.277000 80	149 1.269000 80	428 1.319000 80	1955 1.369000 80	2437 1.346000 80	2486 1.343000 80
58 1.195000 90	144 1.225000 90	419 1.389000 90	1814 1.349000 90	2366 1.369000 90	2460 1.383000 90
65 1.296000 100	115 1.161000 100	402 1.337000 100	1790 1.338000 100	2594 1.345000 100	2559 1.387000 100
77 1.224000 110	78 1.225000 110	523 1.323000 110	2020 1.334000 110	2401 1.394000 110	2558 1.367000 110
73 1.296000 120	141 1.196000 120	354 1.279000 120	1956 1.369000 120	2660 1.379000 120	2556 1.357000 120
75 1.278000 130	101 1.184000 130	306 1.331000 130	2112 1.353000 130	2376 1.356000 130	2541 1.355000 130
58 1.235000 140	174 1.235000 140	464 1.294000 140	2150 1.328000 140	2419 1.368000 140	2501 1.356000 140
78 1.323000 150	49 1.236000 150	415 1.312000 150	2180 1.373000 150	2512 1.376000 150	2459 1.372000 150
76 1.319000 160	167 1.250000 160	578 1.330000 160	2206 1.336000 160	2512 1.361000 160	2543 1.377000 160
82 1.265000 170	67 1.182000 170	374 1.281000 170	2160 1.339000 170	2757 1.386000 170	2441 1.362000 170
84 1.315000 180	94 1.210000 180	440 1.306000 180	2174 1.394000 180	2405 1.374000 180	2413 1.336000 180
93 1.243000 190	118 1.273000 190	497 1.306000 190	2203 1.346000 190	2500 1.363000 190	2447 1.370000 190
59 1.309000 200	107 1.275000 200	529 1.339000 200	2371 1.341000 200	1652 1.390000 200	1776 1.355000 200
97 1.239000 210	126 1.240000 210	488 1.338000 210	2242 1.380000 210	334 1.333000 210	353 1.381000 210
