47 1.417000 10	163 1.354000 10	457 1.336000 10	1693 1.323000 10	2719 1.284000 10	4448 1.301000 10
81 1.348000 20	148 1.279000 20	404 1.304000 20	1718 1.316000 20	2870 1.220000 20	3960 1.248000 20
55 1.381000 30	122 1.235000 30	482 1.329000 30	1671 1.293000 30	2863 1.239000 30	4097 1.252000 30
64 1.266000 40	159 1.252000 40	396 1.310000 40	1685 1.310000 40	2807 1.223000 40	3993 1.253000 40
70 1.379000 50	121 1.206000 50	516 1.285000 50	1579 1.304000 50	2812 1.210000 50	3837 1.251000 50
88 1.370000 60	166 1.218000 60	451 1.370000 60	1640 1.290000 60	2696 1.218000 60	3949 1.271000 60
51 1.265000 70	132 1.206000 70	487 1.312000 70	1668 1.300000 70	2734 1.227000 70	4107 1.273000 70
89 1.277000 80	149 1.269000 80	428 1.319000 80	1680 1.284000 80	2822 1.238000 80	3922 1.276000 80
58 1.195000 90	144 1.225000 90	419 1.389000 90	1665 1.303000 90	2663 1.241000 90	4290 1.246000 90
65 1.296000 100	115 1.161000 100	402 1.337000 100	1677 1.275000 100	2828 1.237000 100	4292 1.242000 100
77 1.224000 110	78 1.225000 110	523 1.323000 110	1667 1.303000 110	2792 1.237000 110	4015 1.285000 110
73 1.296000 120	141 1.196000 120	354 1.279000 120	1767 1.266000 120	2649 1.243000 120	4083 1.244000 120
75 1.278000 130	101 1.184000 130	306 1.331000 130	1656 1.270000 130	2801 1.221000 130	4040 1.215000 130
58 1.235000 140	174 1.235000 140	464 1.294000 140	1641 1.261000 140	2880 1.226000 140	4076 1.214000 140
78 1.323000 150	49 1.236000 150	415 1.312000 150	1681 1.277000 150	2815 1.240000 150	4409 1.216000 150
76 1.319000 160	167 1.250000 160	578 1.330000 160	1664 1.250000 160	2839 1.209000 160	4343 1.216000 160
82 1.265000 170	67 1.182000 170	374 1.281000 170	1634 1.258000 170	2807 1.228000 170	4269 1.271000 170
84 1.315000 180	94 1.210000 180	440 1.306000 180	1654 1.260000 180	2657 1.227000 180	3885 1.256000 180
93 1.243000 190	118 1.273000 190	497 1.306000 190	1657 1.255000 190	2811 1.215000 190	4048 1.240000 190
59 1.309000 200	107 1.275000 200	529 1.339000 200	1641 1.257000 200	2765 1.228000 200	3962 1.246000 200
97 1.239000 210	126 1.240000 210	488 1.338000 210	1691 1.292000 210	2737 1.235000 210	4202 1.231000 210
81 1.341000 220	139 1.260000 220	496 1.318000 220	1667 1.268000 220	2841 1.222000 220	3925 1.269000 220
83 1.288000 230	128 1.249000 230	524 1.345000 230	1658 1.256000 230	2761 1.227000 230	4286 1.221000 230
