3539 1.187000 10	1441 1.255000 10	2179 1.339000 10
3469 1.235000 20	1416 1.194000 20	2114 1.380000 20
3398 1.193000 30	1402 1.191000 30	2338 1.363000 30
3494 1.195000 40	1427 1.186000 40	2201 1.367000 40
3346 1.243000 50	1431 1.200000 50	2440 1.354000 50
3532 1.248000 60	1342 1.169000 60	2421 1.370000 60
3504 1.221000 70	1369 1.173000 70	2264 1.342000 70
3393 1.231000 80	1499 1.188000 80	2326 1.376000 80
3767 1.204000 90	1447 1.173000 90	2416 1.364000 90
3370 1.242000 100	1465 1.196000 100	2413 1.367000 100
3184 1.200000 110	1611 1.183000 110	2392 1.349000 110
44 1.193000 120	1645 1.195000 120	2473 1.356000 120
35 1.220000 130	1490 1.186000 130	2528 1.338000 130
51 1.237000 140	1544 1.176000 140	2512 1.361000 140
138 1.176000 150	1648 1.163000 150	2377 1.354000 150
139 1.170000 160	1683 1.161000 160	2465 1.378000 160
71 1.174000 170	1698 1.171000 170	2705 1.335000 170
201 1.197000 180	1811 1.160000 180	2527 1.368000 180
138 1.186000 190	1718 1.178000 190	2421 1.372000 190
207 1.152000 200	1600 1.158000 200	2515 1.367000 200
255 1.218000 210	1754 1.172000 210	2543 1.381000 210
176 1.173000 220	1702 1.179000 220	639 1.376000 220
152 1.159000 230	1654 1.183000 230	308 1.312000 230
106 1.140000 240	1741 1.168000 240	328 1.267000 240
193 1.263000 250	1679 1.161000 250	308 1.342000 250
138 1.181000 260	1795 1.164000 260	228 1.253000 260
120 1.157000 270	1853 1.156000 270	204 1.283000 270
179 1.166000 280	1860 1.174000 280	243 1.322000 280
136 1.207000 290	1801 1.165000 290	94 1.339000 290
151 1.169000 300	1766 1.163000 300	139 1.287000 300
182 1.165000 310	1784 1.173000 310	173 1.270000 310
146 1.203000 320	1883 1.180000 320	148 1.287000 320
200 1.197000 330	1740 1.163000 330	200 1.371000 330
161 1.236000 340	1856 1.177000 340	140 1.306000 340
183 1.151000 350	1649 1.159000 350	166 1.276000 350
138 1.240000 360	1902 1.163000 360	158 1.266000 360
224 1.197000 370	1662 1.171000 370	201 1.273000 370
286 1.254000 380	1776 1.162000 380	170 1.308000 380
171 1.193000 390	1865 1.161000 390	165 1.315000 390
309 1.156000 400	1771 1.160000 400	177 1.240000 400
242 1.200000 410	1710 1.179000 410	207 1.332000 410
134 1.125000 420	1860 1.174000 420	157 1.286000 420
329 1.133000 430	1849 1.176000 430	129 1.243000 430
334 1.172000 440	537 1.276000 440	154 1.303000 440
117 1.243000 450	476 1.246000 450	240 1.292000 450
443 1.180000 460	234 1.185000 460	497 1.296000 460
168 1.169000 470	153 1.239000 470	157 1.290000 470
300 1.177000 480	226 1.204000 480	165 1.278000 480
463 1.164000 490	144 1.185000 490	403 1.290000 490
121 1.152000 500	201 1.232000 500	260 1.299000 500
323 1.189000 510	146 1.167000 510	150 1.306000 510
549 1.184000 520	169 1.247000 520	513 1.253000 520
501 1.156000 530	165 1.267000 530	243 1.237000 530
527 1.168000 540	183 1.209000 540	218 1.285000 540
257 1.139000 550	144 1.156000 550	587 1.356000 550
650 1.171000 560	199 1.200000 560	270 1.305000 560
382 1.204000 570	202 1.222000 570	427 1.313000 570
602 1.210000 580	159 1.181000 580	406 1.345000 580
424 1.171000 590	232 1.223000 590	332 1.329000 590
672 1.161000 600	178 1.166000 600	539 1.320000 600
254 1.203000 610	181 1.252000 610	245 1.298000 610
779 1.157000 620	163 1.155000 620	409 1.328000 620
324 1.186000 630	280 1.205000 630	761 1.344000 630
874 1.179000 640	208 1.179000 640	472 1.350000 640
997 1.185000 650	301 1.183000 650	618 1.310000 650
850 1.189000 660	257 1.189000 660	500 1.351000 660
