4898 1.278000 10	4239 1.316000 10	4402 1.313000 10	3539 1.187000 10	1441 1.255000 10	2179 1.339000 10
5337 1.201000 20	5226 1.302000 20	4723 1.301000 20	3469 1.235000 20	1416 1.194000 20	2114 1.380000 20
5537 1.220000 30	5974 1.288000 30	4742 1.301000 30	3398 1.193000 30	1402 1.191000 30	2338 1.363000 30
5678 1.279000 40	5496 1.297000 40	4886 1.301000 40	3494 1.195000 40	1427 1.186000 40	2201 1.367000 40
6107 1.230000 50	5773 1.289000 50	5285 1.302000 50	3346 1.243000 50	1431 1.200000 50	2440 1.354000 50
6501 1.213000 60	5705 1.285000 60	5747 1.301000 60	3532 1.248000 60	1342 1.169000 60	2421 1.370000 60
6427 1.209000 70	6009 1.292000 70	5830 1.281000 70	3504 1.221000 70	1369 1.173000 70	2264 1.342000 70
4937 1.232000 80	6184 1.288000 80	6011 1.281000 80	3393 1.231000 80	1499 1.188000 80	2326 1.376000 80
5033 1.242000 90	6359 1.289000 90	6307 1.274000 90	3767 1.204000 90	1447 1.173000 90	2416 1.364000 90
5664 1.208000 100	3702 1.269000 100	6188 1.289000 100	3370 1.242000 100	1465 1.196000 100	2413 1.367000 100
5156 1.197000 110	3766 1.262000 110	4133 1.244000 110	3184 1.200000 110	1611 1.183000 110	2392 1.349000 110
4341 1.187000 120	3793 1.249000 120	3998 1.207000 120	44 1.193000 120	1645 1.195000 120	2473 1.356000 120
4375 1.204000 130	3935 1.263000 130	3760 1.264000 130	35 1.220000 130	1490 1.186000 130	2528 1.338000 130
4592 1.209000 140	4009 1.267000 140	4317 1.199000 140	51 1.237000 140	1544 1.176000 140	2512 1.361000 140
5187 1.195000 150	4244 1.260000 150	4538 1.212000 150	138 1.176000 150	1648 1.163000 150	2377 1.354000 150
4940 1.207000 160	4252 1.274000 160	5096 1.197000 160	139 1.170000 160	1683 1.161000 160	2465 1.378000 160
5039 1.200000 170	4127 1.265000 170	4116 1.284000 170	71 1.174000 170	1698 1.171000 170	2705 1.335000 170
5139 1.219000 180	4522 1.287000 180	4292 1.337000 180	201 1.197000 180	1811 1.160000 180	2527 1.368000 180
4278 1.209000 190	4649 1.294000 190	4124 1.309000 190	138 1.186000 190	1718 1.178000 190	2421 1.372000 190
4119 1.194000 200	4348 1.304000 200	4252 1.264000 200	207 1.152000 200	1600 1.158000 200	2515 1.367000 200
4711 1.193000 210	4901 1.254000 210	4595 1.253000 210	255 1.218000 210	1754 1.172000 210	2543 1.381000 210
4876 1.183000 220	5052 1.280000 220	4652 1.261000 220	176 1.173000 220	1702 1.179000 220	639 1.376000 220
5110 1.213000 230	5143 1.255000 230	4915 1.315000 230	152 1.159000 230	1654 1.183000 230	308 1.312000 230
5403 1.220000 240	5246 1.258000 240	4804 1.318000 240	106 1.140000 240	1741 1.168000 240	328 1.267000 240
5841 1.214000 250	5554 1.314000 250	4679 1.346000 250	193 1.263000 250	1679 1.161000 250	308 1.342000 250
5651 1.215000 260	5617 1.291000 260	4710 1.354000 260	138 1.181000 260	1795 1.164000 260	228 1.253000 260
5667 1.238000 270	5533 1.316000 270	4761 1.320000 270	120 1.157000 270	1853 1.156000 270	204 1.283000 270
5959 1.244000 280	5564 1.295000 280	4776 1.283000 280	179 1.166000 280	1860 1.174000 280	243 1.322000 280
5461 1.266000 290	5809 1.291000 290	5219 1.302000 290	136 1.207000 290	1801 1.165000 290	94 1.339000 290
4923 1.218000 300	5838 1.299000 300	5085 1.312000 300	151 1.169000 300	1766 1.163000 300	139 1.287000 300
5369 1.210000 310	5931 1.298000 310	5351 1.285000 310	182 1.165000 310	1784 1.173000 310	173 1.270000 310
5437 1.195000 320	5553 1.284000 320	5680 1.253000 320	146 1.203000 320	1883 1.180000 320	148 1.287000 320
4977 1.188000 330	4203 1.297000 330	5868 1.303000 330	200 1.197000 330	1740 1.163000 330	200 1.371000 330
4968 1.193000 340	4010 1.259000 340	5802 1.300000 340	161 1.236000 340	1856 1.177000 340	140 1.306000 340
4896 1.186000 350	4126 1.273000 350	4971 1.276000 350	183 1.151000 350	1649 1.159000 350	166 1.276000 350
