3880 1.306000 10	1514 1.324000 10	1498 1.321000 10
4169 1.241000 20	1672 1.333000 20	1528 1.372000 20
4277 1.236000 30	1704 1.376000 30	1524 1.345000 30
4498 1.223000 40	1794 1.341000 40	1600 1.348000 40
4951 1.266000 50	1742 1.362000 50	1712 1.333000 50
4931 1.264000 60	1847 1.346000 60	1583 1.336000 60
5129 1.273000 70	1771 1.361000 70	1490 1.371000 70
5197 1.270000 80	1842 1.409000 80	1780 1.382000 80
5893 1.288000 90	1827 1.353000 90	1805 1.367000 90
6072 1.287000 100	1860 1.356000 100	1911 1.350000 100
6080 1.277000 110	1855 1.343000 110	1806 1.355000 110
6106 1.276000 120	2037 1.327000 120	1887 1.381000 120
4012 1.270000 130	2028 1.355000 130	1903 1.355000 130
4118 1.232000 140	2241 1.375000 140	1936 1.362000 140
4313 1.249000 150	2094 1.359000 150	1894 1.361000 150
4061 1.201000 160	2100 1.367000 160	1811 1.368000 160
4587 1.210000 170	2158 1.357000 170	1916 1.356000 170
4248 1.201000 180	2082 1.326000 180	2080 1.379000 180
4186 1.300000 190	2186 1.345000 190	2013 1.373000 190
3825 1.332000 200	2168 1.373000 200	2102 1.355000 200
4167 1.312000 210	2139 1.346000 210	2175 1.382000 210
3946 1.350000 220	2373 1.372000 220	2246 1.359000 220
4323 1.335000 230	2205 1.339000 230	2205 1.343000 230
4325 1.322000 240	2079 1.345000 240	2156 1.356000 240
4529 1.309000 250	2226 1.375000 250	2158 1.376000 250
4597 1.316000 260	2164 1.373000 260	2138 1.383000 260
4747 1.341000 270	2457 1.362000 270	2085 1.368000 270
4861 1.326000 280	2168 1.380000 280	2341 1.379000 280
4710 1.340000 290	2316 1.367000 290	2189 1.371000 290
4867 1.323000 300	1210 1.360000 300	2043 1.378000 300
5002 1.283000 310	315 1.284000 310	2378 1.344000 310
5178 1.298000 320	381 1.343000 320	2234 1.376000 320
5165 1.302000 330	325 1.250000 330	2335 1.355000 330
5347 1.317000 340	182 1.322000 340	2285 1.377000 340
5260 1.315000 350	232 1.273000 350	2299 1.368000 350
5356 1.328000 360	246 1.307000 360	722 1.401000 360
4650 1.319000 370	138 1.263000 370	355 1.306000 370
4223 1.245000 380	144 1.229000 380	399 1.325000 380
4255 1.200000 390	146 1.233000 390	235 1.321000 390
4657 1.209000 400	185 1.264000 400	198 1.267000 400
4339 1.185000 410	148 1.210000 410	106 1.263000 410
4065 1.222000 420	107 1.215000 420	197 1.330000 420
4225 1.238000 430	196 1.227000 430	177 1.218000 430
4186 1.214000 440	172 1.241000 440	161 1.280000 440
4548 1.201000 450	186 1.297000 450	102 1.221000 450
4523 1.270000 460	143 1.253000 460	180 1.376000 460
4569 1.260000 470	164 1.283000 470	198 1.271000 470
4634 1.256000 480	157 1.290000 480	119 1.276000 480
4809 1.288000 490	155 1.312000 490	147 1.266000 490
4961 1.311000 500	257 1.307000 500	173 1.285000 500
4930 1.308000 510	164 1.262000 510	142 1.283000 510
4924 1.329000 520	103 1.287000 520	164 1.298000 520
4846 1.297000 530	375 1.257000 530	191 1.287000 530
4901 1.318000 540	109 1.303000 540	164 1.288000 540
4971 1.338000 550	112 1.311000 550	167 1.320000 550
5221 1.297000 560	489 1.279000 560	135 1.318000 560
5145 1.321000 570	128 1.285000 570	283 1.285000 570
4978 1.301000 580	417 1.285000 580	142 1.255000 580
5031 1.328000 590	229 1.337000 590	130 1.243000 590
4897 1.323000 600	197 1.352000 600	430 1.281000 600
4813 1.305000 610	329 1.310000 610	260 1.296000 610
3994 1.291000 620	230 1.292000 620	118 1.285000 620
4023 1.300000 630	497 1.293000 630	163 1.333000 630
3877 1.291000 640	257 1.309000 640	474 1.244000 640
3874 1.284000 650	408 1.337000 650	223 1.280000 650
3843 1.321000 660	288 1.293000 660	111 1.297000 660
4148 1.296000 670	216 1.298000 670	401 1.302000 670
4140 1.288000 680	588 1.324000 680	245 1.277000 680
