2011 1.362000 10	1034 1.344000 10	4017 1.360000 10	2942 1.385000 10
1850 1.378000 20	1050 1.306000 20	3784 1.383000 20	2965 1.356000 20
2183 1.363000 30	1059 1.310000 30	3349 1.337000 30	3887 1.409000 30
1764 1.383000 40	1122 1.322000 40	4336 1.311000 40	3481 1.379000 40
2225 1.372000 50	1124 1.336000 50	3699 1.342000 50	3643 1.372000 50
2172 1.383000 60	1001 1.280000 60	4057 1.313000 60	3495 1.375000 60
2020 1.375000 70	1061 1.322000 70	4570 1.323000 70	3979 1.368000 70
2189 1.354000 80	1219 1.298000 80	4937 1.313000 80	4430 1.333000 80
2289 1.370000 90	1094 1.320000 90	4948 1.364000 90	3851 1.359000 90
2303 1.370000 100	1038 1.300000 100	4127 1.324000 100	5031 1.362000 100
2157 1.396000 110	1097 1.319000 110	5946 1.311000 110	5167 1.327000 110
2347 1.356000 120	1219 1.321000 120	5021 1.336000 120	4815 1.318000 120
2088 1.409000 130	1232 1.297000 130	4287 1.339000 130	5317 1.358000 130
2271 1.375000 140	1186 1.311000 140	5431 1.322000 140	5440 1.333000 140
2333 1.378000 150	1262 1.335000 150	4302 1.287000 150	5185 1.328000 150
2229 1.341000 160	1191 1.292000 160	3006 1.295000 160	5105 1.338000 160
2480 1.353000 170	1207 1.287000 170	3276 1.314000 170	4431 1.364000 170
2348 1.369000 180	1185 1.313000 180	3669 1.345000 180	3574 1.351000 180
2552 1.369000 190	1188 1.338000 190	3648 1.308000 190	3261 1.348000 190
1200 1.386000 200	1247 1.292000 200	3847 1.307000 200	3576 1.346000 200
379 1.343000 210	1327 1.322000 210	3084 1.366000 210	3374 1.330000 210
329 1.302000 220	1245 1.297000 220	3543 1.331000 220	3501 1.294000 220
210 1.336000 230	1323 1.315000 230	3597 1.342000 230	3534 1.301000 230
239 1.341000 240	1237 1.301000 240	3460 1.320000 240	3433 1.307000 240
177 1.249000 250	1288 1.312000 250	4138 1.287000 250	3569 1.296000 250
171 1.390000 260	1262 1.314000 260	3853 1.341000 260	3971 1.293000 260
126 1.268000 270	1224 1.321000 270	3659 1.358000 270	3581 1.381000 270
109 1.315000 280	1383 1.311000 280	4013 1.336000 280	3654 1.363000 280
226 1.307000 290	1274 1.296000 290	4221 1.362000 290	3911 1.383000 290
147 1.253000 300	1312 1.303000 300	3906 1.390000 300	4073 1.346000 300
207 1.205000 310	1245 1.317000 310	4528 1.381000 310	4295 1.385000 310
130 1.289000 320	1231 1.316000 320	4623 1.354000 320	4343 1.395000 320
178 1.291000 330	1350 1.310000 330	4199 1.351000 330	4419 1.397000 330
163 1.282000 340	1378 1.329000 340	5226 1.342000 340	4510 1.419000 340
216 1.284000 350	1257 1.314000 350	4807 1.345000 350	4474 1.400000 350
180 1.381000 360	1340 1.298000 360	4200 1.349000 360	4392 1.415000 360
212 1.322000 370	1246 1.321000 370	5255 1.361000 370	4431 1.434000 370
152 1.286000 380	1381 1.312000 380	5622 1.316000 380	4499 1.377000 380
209 1.257000 390	1407 1.274000 390	4829 1.280000 390	4860 1.348000 390
148 1.303000 400	1337 1.327000 400	3515 1.231000 400	5486 1.329000 400
